make,model,date_from,rank,id,battery,plug-type2-ccs,icons,acceleration,topspeed,erange_real,efficiency,fastcharge_speed,price_de,country_nl,country_uk,price,tow-hitch,towweight,shape-suv,size-c,shape-spv,size-n
Honda,e,1596232800,3526,1171,28.5,Type 2 CCS,4,9,145,170,168,190,33850,N/A,N/A,0.64,,,,,,
Tesla,Model 3 Long Range Dual Motor,1635721200,3143,1591,75,Type 2 CCS,5,4.4,233,485,155,750,65365,"€ 60,995","£57,490",1.23,Towbar possible,1000,,,,
Tesla,Model 3,1638313200,2941,1555,57.5,Type 2 CCS,5,6.1,225,380,151,630,55865,"€ 52,995","£48,490",1.05,Towbar possible,1000,,,,
Tesla,Model Y Long Range Dual Motor,1643670000,2840,1619,75,Type 2 CCS,5,5,217,435,172,670,62165,"€ 66,995","£57,990",1.25,Towbar possible,1600,SUV,,,
BMW,i4 eDrive40,1635721200,2626,1252,80.7,Type 2 CCS,5,5.7,190,470,172,650,59200,"€ 60,630","£53,480",1.15,Towbar possible,1600,,,,
Mercedes,EQS 450+,1633039200,2322,1483,107.8,Type 2 CCS,5,6.2,210,640,168,840,107326,"€ 106,307","£102,160",2.11,Towbar possible,750,,,,
Kia,EV6 GT,1656626400,2263,1471,74,Type 2 CCS,5,3.5,260,370,200,910,70690,"€ 68,495","£61,595",1.34,Towbar possible,1800,SUV,C,,
Renault,Megane E-Tech EV60 220hp,1648764000,2182,1521,60,Type 2 CCS,5,7.4,160,360,167,520,41700,"€ 42,190","£35,995",0.8,Towbar possible,900,SUV,C,,
Nissan,Ariya 87kWh,1656626400,1998,1302,87,Type 2 CCS,5,7.6,160,445,196,530,56990,"€ 54,990","£52,090",1.09,Towbar possible,750,SUV,C,,
Kia,Niro EV,1654034400,1904,1666,64.8,Type 2 CCS,5,7.8,167,380,171,380,47590,"€ 41,795","£36,245",0.83,Towbar possible,750,SUV,C,,
Skoda,Enyaq iV 80,1617228000,1876,1280,77,Type 2 CCS,5,8.6,160,420,183,530,44750,"€ 54,590","£42,435",0.94,Towbar possible,1000,SUV,C,,
BMW,iX xDrive50,1635721200,1566,1473,105.2,Type 2 CCS,5,4.6,200,505,208,680,102500,"€ 119,657","£107,305",2.2,Towbar possible,2500,SUV,,,
Hyundai,Kona Electric 64 kWh,1622498400,1493,1423,64,Type 2 CCS,5,7.9,167,395,162,370,42900,"€ 39,495","£35,750",0.79,Towbar possible,100,SUV,,,
BMW,iX xDrive40,1633039200,1468,1472,71,Type 2 CCS,5,6.1,200,360,197,500,77300,"€ 92,225","£77,305",1.65,Towbar possible,2500,SUV,,,
Kia,EV6 Long Range 2WD,1633039200,1423,1481,74,Type 2 CCS,5,7.3,185,410,180,1010,50990,"€ 56,695","£44,195",1.01,Towbar possible,1600,SUV,C,,
Tesla,Model S Long Range,1664575200,1383,1404,95,,5,3.2,250,585,162,810,115000,"* €115,000","* £90,000",2.12,,,,,,
Mercedes,EQS 580 4MATIC,1633039200,1382,1484,107.8,Type 2 CCS,5,4.3,210,605,178,790,139480,"€ 170,558",N/A,2.93,Towbar possible,750,,,,
BMW,i4 M50,1635721200,1364,1519,80.7,Type 2 CCS,5,3.9,225,435,186,600,70800,"€ 73,429","£65,795",1.4,Towbar possible,1600,,,,
Audi,e-tron GT RS,1619820000,1302,1153,85,Type 2 CCS,4,3.3,250,405,210,1000,146050,"€ 151,475","£115,000",2.73,,,,,,
Tesla,Model S Plaid,1664575200,1297,1405,95,,5,2.1,322,560,170,780,150000,"* €150,000","* £120,000",2.79,,,,,,
Tesla,Model Y Performance,1646089200,1285,1183,75,Type 2 CCS,5,3.7,250,415,181,640,68735,"€ 71,005","£67,990",1.39,Towbar possible,1600,SUV,,,
Hyundai,IONIQ 6 Long Range AWD,1664575200,1263,1719,74,Type 2 CCS,5,5.1,190,465,159,1140,62000,"* €60,000","* £52,000",1.16,,,,,,
